URL,Name,Brand,product_specs,Screen Size,CPU,RAM,Storage,OS,Graphics
https://www.jarir.com/sa-en/huawei-laptops-628654.html,"Huawei MateBook D 16 2024 Laptop  16"", Intel Core i5, 8 GB RAM, 512 GB PCIe NVMe M.2 SSD, Windows 11 Home",Huawei,"16""
Intel Core i5
8 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11 Home
16""
Intel Core i5
8 GB RAM
512 GB PCIe NVMe M.2 SSD
Windows 11 Home","16""",Intel Core i5,8 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11 Home,
https://www.jarir.com/sa-en/huawei-laptops-635791.html,"Huawei MateBook X Pro Laptop  14.2"", Intel Core Ultra 7, 16 GB RAM, 1 TB PCIe NVMe M.2 SSD, Windows 11 Home, Intel Arc Graphics,",Huawei,"14.2""
Intel Core Ultra 7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11 Home
Intel Arc Graphics
14.2""
Intel Core Ultra 7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11 Home
Intel Arc Graphics","14.2""",Intel Core Ultra 7,16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,Intel Arc Graphics
https://www.jarir.com/sa-en/huawei-laptops-635356.html,"Huawei MateBook X Pro Laptop  14.2"", Intel Core Ultra 7, 16 GB RAM, 1 TB PCIe NVMe M.2 SSD, Windows 11 Home, Intel Arc Graphics,",Huawei,"14.2""
Intel Core Ultra 7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11 Home
Intel Arc Graphics
14.2""
Intel Core Ultra 7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11 Home
Intel Arc Graphics","14.2""",Intel Core Ultra 7,16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,Intel Arc Graphics
https://www.jarir.com/sa-en/hp-laptops-618668.html,"HP Laptop  15.6"", Intel Core i7, 16 GB RAM, 512 GB NVMe M.2 SSD, Windows 11, Intel Iris Xe Graphics",HP,"15.6""
Intel Core i7
16 GB RAM
512 GB NVMe M.2 SSD
Windows 11
Intel Iris Xe Graphics
15.6""
Intel Core i7
16 GB RAM
512 GB NVMe M.2 SSD
Windows 11
Intel Iris Xe Graphics","15.6""",Intel Core i7,16 GB RAM,512 GB NVMe M.2 SSD,Windows 11,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/asus-laptops-616784.html,"Asus Vivobook 14X OLED Laptop  14"", Intel Core i9, 16 GB RAM, 1 TB M.2 NVMe PCIe 3.0 SSD, Windows 11, NVIDIA GeForce 4 GB",Asus,"14""
Intel Core i9
16 GB RAM
1 TB M.2 NVMe PCIe 3.0 SSD
Windows 11
NVIDIA GeForce 4 GB
14""
Intel Core i9
16 GB RAM
1 TB M.2 NVMe PCIe 3.0 SSD
Windows 11
NVIDIA GeForce 4 GB","14""",Intel Core i9,16 GB RAM,1 TB M.2 NVMe PCIe 3.0 SSD,Windows 11,NVIDIA GeForce 4 GB
https://www.jarir.com/sa-en/msi-prestige13-ai-evo-a1mg-laptops-630721.html,"MSI Prestige 13 AI Evo A1MG Laptop  13.3"", Intel Core Ultra 7, 32 GB RAM, 1 TB M.2 NVMe PCIe 4.0 SSD, Windows 11 Home, Intel Iris Xe Graphics,",MSI,"13.3""
Intel Core Ultra 7
32 GB RAM
1 TB M.2 NVMe PCIe 4.0 SSD
Windows 11 Home
Intel Iris Xe Graphics
13.3""
Intel Core Ultra 7
32 GB RAM
1 TB M.2 NVMe PCIe 4.0 SSD
Windows 11 Home
Intel Iris Xe Graphics","13.3""",Intel Core Ultra 7,32 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/huawei-matebook-14-laptops-622142.html,"Huawei MateBook 14 Laptop  14"", Intel Core i7, 16 GB RAM, 1 TB SSD, Windows 11, Intel Iris Xe Graphics",Huawei,"14""
Intel Core i7
16 GB RAM
1 TB SSD
Windows 11
Intel Iris Xe Graphics
14""
Intel Core i7
16 GB RAM
1 TB SSD
Windows 11
Intel Iris Xe Graphics","14""",Intel Core i7,16 GB RAM,1 TB SSD,Windows 11,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/huawei-laptops-633446.html,"Huawei MateBook D 16 2024 Laptop  16"", Intel Core i7, 16 GB RAM, 1 TB SSD, Windows 11 Home, Intel Iris Xe Graphics",Huawei,"16""
Intel Core i7
16 GB RAM
1 TB SSD
Windows 11 Home
Intel Iris Xe Graphics
16""
Intel Core i7
16 GB RAM
1 TB SSD
Windows 11 Home
Intel Iris Xe Graphics","16""",Intel Core i7,16 GB RAM,1 TB SSD,Windows 11 Home,Intel Iris Xe Graphics
https://www.jarir.com/sa-en/acer-swift-go-14-laptops-624116.html,"Acer Swift Go 14 Laptop  14"", Intel Core i7, 16 GB RAM, 1 TB PCIe NVMe M.2 SSD, Windows 11",Acer,"14""
Intel Core i7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11
14""
Intel Core i7
16 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11","14""",Intel Core i7,16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11,
https://www.jarir.com/sa-en/lenovo-yoga-pro-7-laptops-630836.html,"Lenovo Yoga Pro 7 Laptop  14.5"", Intel Core Ultra 9, 32 GB RAM, 1 TB PCIe NVMe M.2 SSD, Windows 11 Home, NVIDIA GeForce 8 GB",Lenovo,"14.5""
Intel Core Ultra 9
32 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11 Home
NVIDIA GeForce 8 GB
14.5""
Intel Core Ultra 9
32 GB RAM
1 TB PCIe NVMe M.2 SSD
Windows 11 Home
NVIDIA GeForce 8 GB","14.5""",Intel Core Ultra 9,32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,NVIDIA GeForce 8 GB
